modalidad;tipo;subtipo;count
DELITOS PATRIMONIALES;ABUSO DE CONFIANZA;ABUSO DE CONFIANZA;17.0
DELITOS PATRIMONIALES;DAÑO EN PROPIEDAD AJENA;DAÑO EN PROPIEDAD AJENA;45.0
DELITOS PATRIMONIALES;EXTORSION;EXTORSION;0.0
DELITOS PATRIMONIALES;FRAUDE;FRAUDE;9.0
DELITOS PATRIMONIALES;DESPOJO;CON VIOLENCIA;0.0
DELITOS PATRIMONIALES;DESPOJO;SIN VIOLENCIA;0.0
DELITOS PATRIMONIALES;DESPOJO;SIN DATOS;0.0
DELITOS SEXUALES (VIOLACION);VIOLACION;VIOLACION;5.0
HOMICIDIOS;DOLOSOS;CON ARMA DE FUEGO;0.0
HOMICIDIOS;DOLOSOS;CON ARMA BLANCA;4.0
HOMICIDIOS;DOLOSOS;OTROS;54.0
HOMICIDIOS;DOLOSOS;SIN DATOS;0.0
HOMICIDIOS;CULPOSOS;CON ARMA DE FUEGO;0.0
HOMICIDIOS;CULPOSOS;CON ARMA BLANCA;0.0
HOMICIDIOS;CULPOSOS;OTROS;0.0
LESIONES;CULPOSAS;OTROS;0.0
LESIONES;CULPOSAS;SIN DATOS;14.0
OTROS DELITOS;AMENAZAS;AMENAZAS;0.0
OTROS DELITOS;ESTUPRO;ESTUPRO;0.0
OTROS DELITOS;OTROS SEXUALES;OTROS SEXUALES;8.0
OTROS DELITOS;RESTO DE LOS DELITOS (OTROS);RESTO DE LOS DELITOS (OTROS);101.0
PRIV. DE LA LIBERTAD (SECUESTRO);SECUESTRO;SECUESTRO;1.0
ROBO COMUN;CON VIOLENCIA;A CASA HABITACION;0.0
ROBO COMUN;CON VIOLENCIA;A NEGOCIO;86.0
ROBO COMUN;CON VIOLENCIA;DE VEHICULOS;1.0
ROBO COMUN;CON VIOLENCIA;A TRANSPORTISTAS;0.0
ROBO COMUN;CON VIOLENCIA;A TRANSEUNTES;8.0
ROBO COMUN;CON VIOLENCIA;OTROS;27.0
ROBO COMUN;CON VIOLENCIA;SIN DATOS;0.0
ROBO COMUN;SIN VIOLENCIA;A CASA HABITACION;9.0
ROBO COMUN;SIN VIOLENCIA;A NEGOCIO;126.0
ROBO COMUN;SIN VIOLENCIA;DE VEHICULOS;31.0
ROBO COMUN;SIN VIOLENCIA;A TRANSPORTISTAS;0.0
ROBO COMUN;SIN VIOLENCIA;A TRANSEUNTES;0.0
ROBO COMUN;SIN VIOLENCIA;OTROS;250.0
ROBO COMUN;SIN VIOLENCIA;SIN DATOS;0.0
ROBO DE GANADO (ABIGEATO);ABIGEATO;ABIGEATO;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A BANCOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A CASA DE BOLSA;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A CASA DE CAMBIO;0.0
